match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.0,0.125,0.4425145983695984,3.540116786956787,12.643274239131383,0.5675145983695984
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Home Win,0.581375241279602,7.2,0.1388888888888889,0.44248635239071316,3.185901737213135,12.846377972633608,0.581375241279602
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.2,0.3125,0.4338911771774292,1.3884517669677736,15.777860988270154,0.7463911771774292
Manchester United FC vs Brentford FC,Manchester United FC,Brentford FC,2026-04-27 19:00:00+00:00,Away Win,0.599145770072937,3.9,0.25641025641025644,0.34273551366268057,1.3366685032844543,11.523004338659089,0.599145770072937
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,2.88,0.3472222222222222,0.2519235478507148,0.7255398178100585,9.648135875133757,0.599145770072937
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.62,0.38167938931297707,0.1971914436070974,0.5166415822505952,7.972863923620296,0.5788708329200745
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Draw,0.28117579221725464,5.1,0.19607843137254904,0.0850973608447056,0.4339965403079986,2.646320367731699,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.25,0.3076923076923077,0.11888692929194522,0.386382520198822,4.293139113320245,0.42657923698425293
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,4.9,0.2040816326530612,0.07825299306791658,0.3834396660327912,2.457946577133277,0.5675145983695984
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.9,0.2040816326530612,0.07709415956419344,0.3777613818645478,2.421547319644537,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Chelsea FC vs Nottingham Forest FC,Chelsea FC,Nottingham Forest FC,2026-05-04 14:00:00+00:00,Home Win,0.7259930968284607,1.73,0.5780346820809249,0.1479584147475358,0.25596805751323704,8.76602936689168,0.7259930968284607
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.1,0.47619047619047616,0.1026803567295983,0.21562874913215646,4.900653389367192,0.5788708329200745
