match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.6,0.11627906976744186,0.45123552860215654,3.880625545978546,12.765215611771533,0.5675145983695984
Manchester United FC vs Brentford FC,Manchester United FC,Brentford FC,2026-04-27 19:00:00+00:00,Away Win,0.599145770072937,4.2,0.23809523809523808,0.36105053197769893,1.5164122343063355,11.846970580518246,0.599145770072937
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.25,0.3076923076923077,0.4386988694851215,1.425771325826645,15.841903620296055,0.7463911771774292
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,2.92,0.3424657534246575,0.2566800166482795,0.7495056486129761,9.75918813298146,0.599145770072937
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.66,0.37593984962406013,0.20293098329601433,0.5397964155673981,8.129464089870453,0.5788708329200745
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.2,0.3125,0.11407923698425293,0.3650535583496094,4.14833589033647,0.42657923698425293
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,4.8,0.20833333333333334,0.07400129238764444,0.3552062034606933,2.3368829175045613,0.5675145983695984
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.8,0.20833333333333334,0.0728424588839213,0.34964380264282213,2.3002881752817244,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.16,0.4629629629629629,0.11590786995711155,0.25036099910736087,5.395711187658639,0.5788708329200745
