match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Away Win,0.1374489814043045,30.0,0.03333333333333333,0.10411564807097118,3.123469442129135,2.6926460708009787,0.581375241279602
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Draw,0.28117579221725464,14.0,0.07142857142857142,0.20974722078868321,2.936461091041565,5.647040559695317,0.581375241279602
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,2026-05-17 11:30:00+00:00,Away Win,0.599145770072937,5.5,0.18181818181818182,0.4173275882547552,2.2953017354011536,12.751676307784187,0.599145770072937
Wolverhampton Wanderers FC vs Fulham FC,Wolverhampton Wanderers FC,Fulham FC,2026-05-17 14:00:00+00:00,Home Win,0.7463911771774292,3.9,0.25641025641025644,0.48998092076717276,1.9109255909919738,16.473496474068742,0.7463911771774292
Chelsea FC vs Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC,2026-05-19 19:15:00+00:00,Home Win,0.7259930968284607,2.08,0.4807692307692307,0.24522386605922997,0.5100656414031983,11.80707503248144,0.7259930968284607
Aston Villa FC vs Liverpool FC,Aston Villa FC,Liverpool FC,2026-05-15 19:00:00+00:00,Draw,0.3422539234161377,4.0,0.25,0.0922539234161377,0.3690156936645508,3.075130780537923,0.42657923698425293
Leeds United FC vs Brighton & Hove Albion FC,Leeds United FC,Brighton & Hove Albion FC,2026-05-17 14:00:00+00:00,Away Win,0.5675145983695984,2.24,0.4464285714285714,0.12108602694102699,0.2712327003479005,5.468401216691541,0.5675145983695984
Newcastle United FC vs West Ham United FC,Newcastle United FC,West Ham United FC,2026-05-17 16:30:00+00:00,Home Win,0.5788708329200745,2.16,0.4629629629629629,0.11590786995711155,0.25036099910736087,5.395711187658639,0.5788708329200745
