match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Crystal Palace FC,Leeds United FC,Crystal Palace FC,2026-09-20 13:00:00+00:00,Away Win,0.5675145983695984,5.5,0.18181818181818182,0.38569641655141657,2.121330291032791,11.785168283515507,0.5675145983695984
Fulham FC vs Manchester United FC,Fulham FC,Manchester United FC,2026-09-20 15:30:00+00:00,Home Win,0.6593955755233765,3.7,0.27027027027027023,0.38912530525310624,1.439763629436493,13.331144717004564,0.6593955755233765
Manchester City FC vs Sunderland AFC,Manchester City FC,Sunderland AFC,2026-09-20 13:00:00+00:00,Home Win,0.8539887070655823,1.37,0.7299270072992701,0.1240616997663122,0.1699645286798478,11.484089775665387,0.8539887070655823
