match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.2,0.12195121951219513,0.44556337885740327,3.653619706630707,12.686179536912178,0.5675145983695984
Wolverhampton Wanderers FC vs Tottenham Hotspur FC,Wolverhampton Wanderers FC,Tottenham Hotspur FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,4.9,0.2040816326530612,0.542309544524368,2.6573167681694034,17.034081847239765,0.7463911771774292
Manchester United FC vs Brentford FC,Manchester United FC,Brentford FC,2026-04-27 19:00:00+00:00,Away Win,0.599145770072937,4.2,0.23809523809523808,0.36105053197769893,1.5164122343063355,11.846970580518246,0.599145770072937
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.15,0.31746031746031744,0.42893085971711176,1.3511322081089019,15.710839629173279,0.7463911771774292
West Ham United FC vs Everton FC,West Ham United FC,Everton FC,2026-04-25 14:00:00+00:00,Home Win,0.8539887070655823,2.48,0.40322580645161293,0.45076290061396934,1.1178919935226441,18.883310701396017,0.8539887070655823
Fulham FC vs Aston Villa FC,Fulham FC,Aston Villa FC,2026-04-25 11:30:00+00:00,Home Win,0.6593955755233765,2.68,0.3731343283582089,0.28626124716516754,0.767180142402649,11.416371166706085,0.6593955755233765
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.48,0.40322580645161293,0.17564502646846153,0.43559966564178465,7.358102460165282,0.5788708329200745
Arsenal FC vs Newcastle United FC,Arsenal FC,Newcastle United FC,2026-04-25 16:30:00+00:00,Draw,0.28117579221725464,5.1,0.19607843137254904,0.0850973608447056,0.4339965403079986,2.646320367731699,0.581375241279602
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,4.8,0.20833333333333334,0.07400129238764444,0.3552062034606933,2.3368829175045613,0.5675145983695984
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.8,0.20833333333333334,0.0728424588839213,0.34964380264282213,2.3002881752817244,0.581375241279602
Liverpool FC vs Crystal Palace FC,Liverpool FC,Crystal Palace FC,2026-04-25 14:00:00+00:00,Home Win,0.7463911771774292,1.58,0.6329113924050632,0.11347978477236598,0.1792980599403382,7.728364652600783,0.7463911771774292
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.02,0.49504950495049505,0.08382132796957942,0.16931908249855043,4.149977512219373,0.5788708329200745
