match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Away Win,0.599145770072937,12.0,0.08333333333333333,0.5158124367396036,6.189749240875244,14.0676119110801,0.599145770072937
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,2026-05-10 15:30:00+00:00,Home Win,0.8539887070655823,5.9,0.1694915254237288,0.6844971816418535,4.038533371686936,20.604762100443548,0.8539887070655823
Sunderland AFC vs Manchester United FC,Sunderland AFC,Manchester United FC,2026-05-09 14:00:00+00:00,Home Win,0.9457205533981323,4.3,0.23255813953488372,0.7131624138632486,3.066598379611969,23.23180590615128,0.9457205533981323
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,5.9,0.1694915254237288,0.3397024910328752,2.004244697093964,10.225738250479406,0.509194016456604
Tottenham Hotspur FC vs Leeds United FC,Tottenham Hotspur FC,Leeds United FC,2026-05-11 19:00:00+00:00,Away Win,0.5848814845085144,4.25,0.23529411764705882,0.3495873668614556,1.4857463091611862,11.428817762778355,0.5848814845085144
Liverpool FC vs Chelsea FC,Liverpool FC,Chelsea FC,2026-05-09 11:30:00+00:00,Home Win,0.7463911771774292,1.91,0.5235602094240838,0.22283096775334543,0.4256071484088897,11.6925040771673,0.7463911771774292
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Draw,0.31109315156936646,4.4,0.22727272727272727,0.08382042429663919,0.36880986690521245,2.7118372566559734,0.509194016456604
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,2.68,0.3731343283582089,0.13605968809839508,0.3646399641036988,5.426189942019327,0.509194016456604
Manchester City FC vs Brentford FC,Manchester City FC,Brentford FC,2026-05-09 16:30:00+00:00,Home Win,0.8539887070655823,1.4,0.7142857142857143,0.13970299277986797,0.19558418989181509,12.224011868238446,0.8539887070655823
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Draw,0.3422539234161377,3.45,0.2898550724637681,0.05239885095236957,0.18077603578567514,1.84465342638444,0.42657923698425293
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Away Win,0.42657923698425293,2.7,0.37037037037037035,0.05620886661388258,0.15176393985748293,2.231822644962984,0.42657923698425293
Manchester City FC vs Crystal Palace FC,Manchester City FC,Crystal Palace FC,2026-05-13 19:00:00+00:00,Home Win,0.8539887070655823,1.29,0.7751937984496123,0.07879490861596994,0.10164543211460117,8.76253725125872,0.8539887070655823
