match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Chelsea FC,Sunderland AFC,Chelsea FC,2026-05-24 15:00:00+00:00,Home Win,0.9457205533981323,3.75,0.26666666666666666,0.6790538867314657,2.546452075242996,23.149564320390876,0.9457205533981323
Tottenham Hotspur FC vs Everton FC,Tottenham Hotspur FC,Everton FC,2026-05-24 15:00:00+00:00,Away Win,0.5848814845085144,4.2,0.23809523809523808,0.3467862464132763,1.4565022349357606,11.378923710435629,0.5848814845085144
Brighton & Hove Albion FC vs Manchester United FC,Brighton & Hove Albion FC,Manchester United FC,2026-05-24 15:00:00+00:00,Away Win,0.599145770072937,3.65,0.273972602739726,0.325173167333211,1.18688206076622,11.197000573266228,0.599145770072937
Fulham FC vs Newcastle United FC,Fulham FC,Newcastle United FC,2026-05-24 15:00:00+00:00,Home Win,0.6593955755233765,3.0,0.3333333333333333,0.32606224219004315,0.9781867265701294,12.227334082126617,0.6593955755233765
West Ham United FC vs Leeds United FC,West Ham United FC,Leeds United FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.89,0.5291005291005292,0.3248881779650531,0.6140386563539504,17.248276863875013,0.8539887070655823
Crystal Palace FC vs Arsenal FC,Crystal Palace FC,Arsenal FC,2026-05-24 15:00:00+00:00,Draw,0.3422539234161377,4.2,0.23809523809523808,0.10415868532089961,0.4374664783477784,3.417706862092019,0.42657923698425293
Liverpool FC vs Brentford FC,Liverpool FC,Brentford FC,2026-05-24 15:00:00+00:00,Home Win,0.7463911771774292,1.86,0.5376344086021505,0.2087567685752787,0.3882875895500184,11.287429928779604,0.7463911771774292
Burnley FC vs Wolverhampton Wanderers FC,Burnley FC,Wolverhampton Wanderers FC,2026-05-24 15:00:00+00:00,Home Win,0.509194016456604,2.58,0.38759689922480617,0.12159711723179784,0.31372056245803837,4.963932950285417,0.509194016456604
Manchester City FC vs Aston Villa FC,Manchester City FC,Aston Villa FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.49,0.6711409395973155,0.1828477674682668,0.2724431735277176,13.900161914679469,0.8539887070655823
