match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Away Win,0.1374489814043045,31.0,0.03225806451612903,0.10519091688817547,3.2609184235334396,2.7174320196112,0.581375241279602
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Draw,0.28117579221725464,14.0,0.07142857142857142,0.20974722078868321,2.936461091041565,5.647040559695317,0.581375241279602
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,2026-05-17 11:30:00+00:00,Away Win,0.599145770072937,5.7,0.17543859649122806,0.42370717358170895,2.415130889415741,12.846440901147558,0.599145770072937
Wolverhampton Wanderers FC vs Fulham FC,Wolverhampton Wanderers FC,Fulham FC,2026-05-17 14:00:00+00:00,Home Win,0.7463911771774292,4.1,0.24390243902439027,0.502488738153039,2.0602038264274594,16.614546987318224,0.7463911771774292
Chelsea FC vs Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC,2026-05-19 19:15:00+00:00,Home Win,0.7259930968284607,2.08,0.4807692307692307,0.24522386605922997,0.5100656414031983,11.80707503248144,0.7259930968284607
Newcastle United FC vs West Ham United FC,Newcastle United FC,West Ham United FC,2026-05-17 16:30:00+00:00,Home Win,0.5788708329200745,2.3,0.4347826086956522,0.14408822422442225,0.3314029157161712,6.373132994541756,0.5788708329200745
Leeds United FC vs Brighton & Hove Albion FC,Leeds United FC,Brighton & Hove Albion FC,2026-05-17 14:00:00+00:00,Away Win,0.5675145983695984,2.22,0.4504504504504504,0.11706414791914799,0.2598824083805086,5.3254591881251745,0.5675145983695984
Everton FC vs Sunderland AFC,Everton FC,Sunderland AFC,2026-05-17 14:00:00+00:00,Home Win,0.581375241279602,1.93,0.5181347150259068,0.06324052625369525,0.12205421566963193,3.281027302947095,0.581375241279602
