match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Fulham FC,Manchester United FC,Fulham FC,2026-02-01 14:00:00+00:00,Away Win,0.599145770072937,5.6,0.17857142857142858,0.4205743415015084,2.355216312408447,12.800088654393734,0.599145770072937
Brighton & Hove Albion FC vs Everton FC,Brighton & Hove Albion FC,Everton FC,2026-01-31 15:00:00+00:00,Away Win,0.599145770072937,4.35,0.2298850574712644,0.3692607126016726,1.6062840998172758,11.98719477475579,0.599145770072937
Sunderland AFC vs Burnley FC,Sunderland AFC,Burnley FC,2026-02-02 20:00:00+00:00,Home Win,0.9457205533981323,1.81,0.5524861878453039,0.3932343655528284,0.7117542016506195,21.96772227316727,0.9457205533981323
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Away Win,0.42657923698425293,4.0,0.25,0.17657923698425293,0.7063169479370117,5.885974566141764,0.42657923698425293
Liverpool FC vs Newcastle United FC,Liverpool FC,Newcastle United FC,2026-01-31 20:00:00+00:00,Home Win,0.7463911771774292,1.85,0.5405405405405405,0.20585063663688874,0.3808236777782441,11.200696405242473,0.7463911771774292
Leeds United FC vs Arsenal FC,Leeds United FC,Arsenal FC,2026-01-31 15:00:00+00:00,Draw,0.2823346257209778,4.5,0.2222222222222222,0.06011240349875557,0.2705058157444,1.9321843981742859,0.5675145983695984
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Draw,0.3422539234161377,3.7,0.27027027027027023,0.07198365314586747,0.26633951663970956,2.4661066355528662,0.42657923698425293
Chelsea FC vs West Ham United FC,Chelsea FC,West Ham United FC,2026-01-31 17:30:00+00:00,Home Win,0.7259930968284607,1.56,0.641025641025641,0.08496745580281972,0.13254923105239874,5.9173763862678,0.7259930968284607
