match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Away Win,0.599145770072937,12.5,0.08,0.519145770072937,6.489322125911713,14.107222012851551,0.599145770072937
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,2026-05-10 15:30:00+00:00,Home Win,0.8539887070655823,5.75,0.17391304347826086,0.6800756635873214,3.910435065627098,20.581237187511043,0.8539887070655823
Sunderland AFC vs Manchester United FC,Sunderland AFC,Manchester United FC,2026-05-09 14:00:00+00:00,Home Win,0.9457205533981323,4.0,0.25,0.6957205533981323,2.7828822135925293,23.19068511327108,0.9457205533981323
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,5.8,0.1724137931034483,0.3367802233531557,1.9533252954483031,10.17356924712658,0.509194016456604
Tottenham Hotspur FC vs Leeds United FC,Tottenham Hotspur FC,Leeds United FC,2026-05-11 19:00:00+00:00,Away Win,0.5848814845085144,4.1,0.24390243902439027,0.34097904548412417,1.3980140864849089,11.274307149071847,0.5848814845085144
Aston Villa FC vs Liverpool FC,Aston Villa FC,Liverpool FC,2026-05-15 19:00:00+00:00,Draw,0.3422539234161377,4.3,0.23255813953488372,0.10969578388125398,0.471691870689392,3.5734232627984244,0.42657923698425293
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,2.86,0.3496503496503497,0.15954366680625431,0.4562948870658874,6.132995793896336,0.509194016456604
Liverpool FC vs Chelsea FC,Liverpool FC,Chelsea FC,2026-05-09 11:30:00+00:00,Home Win,0.7463911771774292,1.95,0.5128205128205129,0.2335706643569163,0.4554627954959869,11.985863039368077,0.7463911771774292
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Draw,0.31109315156936646,4.4,0.22727272727272727,0.08382042429663919,0.36880986690521245,2.7118372566559734,0.509194016456604
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Draw,0.19790267944335938,6.8,0.14705882352941177,0.050843855913947605,0.3457382202148438,1.490250949201913,0.599145770072937
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Draw,0.3422539234161377,3.5,0.2857142857142857,0.056539637701852,0.19788873195648193,1.9788873195648193,0.42657923698425293
Manchester City FC vs Brentford FC,Manchester City FC,Brentford FC,2026-05-09 16:30:00+00:00,Home Win,0.8539887070655823,1.38,0.7246376811594204,0.12935102590616188,0.17850441575050346,11.743711562533125,0.8539887070655823
Manchester City FC vs Crystal Palace FC,Manchester City FC,Crystal Palace FC,2026-05-13 19:00:00+00:00,Home Win,0.8539887070655823,1.3,0.7692307692307692,0.08475793783481311,0.11018531918525698,9.182109932104748,0.8539887070655823
