match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.8,0.11363636363636363,0.45387823473323474,3.994128465652466,12.80169380016816,0.5675145983695984
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Home Win,0.581375241279602,7.0,0.14285714285714285,0.4385180984224592,3.0696266889572144,12.790111203988394,0.581375241279602
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.4,0.29411764705882354,0.45227353011860566,1.5377300024032592,16.018020858367287,0.7463911771774292
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,3.0,0.3333333333333333,0.2658124367396037,0.797437310218811,9.967966377735138,0.599145770072937
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.55,0.28169014084507044,0.1448890961391825,0.5143562912940978,5.04270873817743,0.42657923698425293
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.6,0.3846153846153846,0.19425544830468988,0.5050641655921937,7.891627587378027,0.5788708329200745
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Draw,0.28117579221725464,5.2,0.1923076923076923,0.08886809990956235,0.46211411952972425,2.750679282915025,0.581375241279602
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,5.1,0.19607843137254904,0.08625619434842874,0.4399065911769866,2.6823572632743087,0.5675145983695984
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.7,0.2127659574468085,0.06840983477044613,0.32152622342109693,2.1724744825749793,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.8,0.2631578947368421,0.0790960286792956,0.30056490898132315,2.683615258761814,0.42657923698425293
Chelsea FC vs Nottingham Forest FC,Chelsea FC,Nottingham Forest FC,2026-05-04 14:00:00+00:00,Home Win,0.7259930968284607,1.76,0.5681818181818182,0.15781127864664246,0.2777478504180908,9.136442447963514,0.7259930968284607
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.0,0.5,0.07887083292007446,0.15774166584014893,3.943541646003723,0.5788708329200745
