match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.2,0.12195121951219513,0.44556337885740327,3.653619706630707,12.686179536912178,0.5675145983695984
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Home Win,0.581375241279602,7.2,0.1388888888888889,0.44248635239071316,3.185901737213135,12.846377972633608,0.581375241279602
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.25,0.3076923076923077,0.4386988694851215,1.425771325826645,15.841903620296055,0.7463911771774292
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,2.92,0.3424657534246575,0.2566800166482795,0.7495056486129761,9.75918813298146,0.599145770072937
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.6,0.3846153846153846,0.19425544830468988,0.5050641655921937,7.891627587378027,0.5788708329200745
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Draw,0.28117579221725464,5.2,0.1923076923076923,0.08886809990956235,0.46211411952972425,2.750679282915025,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.35,0.29850746268656714,0.1280717742976858,0.42904044389724727,4.564260041460077,0.42657923698425293
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,5.0,0.2,0.08233462572097777,0.4116731286048889,2.5729570537805557,0.5675145983695984
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.7,0.2127659574468085,0.06840983477044613,0.32152622342109693,2.1724744825749793,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Chelsea FC vs Nottingham Forest FC,Chelsea FC,Nottingham Forest FC,2026-05-04 14:00:00+00:00,Home Win,0.7259930968284607,1.73,0.5780346820809249,0.1479584147475358,0.25596805751323704,8.76602936689168,0.7259930968284607
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.05,0.48780487804878053,0.09106595487129393,0.18668520748615258,4.444885892527443,0.5788708329200745
