match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Away Win,0.1374489814043045,30.03,0.0333000333000333,0.10414894810427121,3.1275929115712646,2.693414494980421,0.581375241279602
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Draw,0.28117579221725464,13.0,0.07692307692307693,0.2042527152941777,2.6552852988243103,5.531844372550646,0.581375241279602
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,2026-05-17 11:30:00+00:00,Away Win,0.599145770072937,5.5,0.18181818181818182,0.4173275882547552,2.2953017354011536,12.751676307784187,0.599145770072937
Wolverhampton Wanderers FC vs Fulham FC,Wolverhampton Wanderers FC,Fulham FC,2026-05-17 14:00:00+00:00,Home Win,0.7463911771774292,3.95,0.2531645569620253,0.4932266202154039,1.9482451498508455,16.510552117380044,0.7463911771774292
Chelsea FC vs Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC,2026-05-19 19:15:00+00:00,Home Win,0.7259930968284607,2.14,0.4672897196261682,0.2587033772022925,0.553625227212906,12.140904105546182,0.7259930968284607
Newcastle United FC vs West Ham United FC,Newcastle United FC,West Ham United FC,2026-05-17 16:30:00+00:00,Home Win,0.5788708329200745,2.22,0.4504504504504504,0.12842038246962406,0.2850932490825654,5.842074776282077,0.5788708329200745
Leeds United FC vs Brighton & Hove Albion FC,Leeds United FC,Brighton & Hove Albion FC,2026-05-17 14:00:00+00:00,Away Win,0.5675145983695984,2.26,0.4424778761061947,0.12503672226340368,0.28258299231529227,5.606805403081197,0.5675145983695984
Aston Villa FC vs Liverpool FC,Aston Villa FC,Liverpool FC,2026-05-15 19:00:00+00:00,Draw,0.3422539234161377,3.65,0.273972602739726,0.06828132067641168,0.24922682046890254,2.3511964195179487,0.42657923698425293
Everton FC vs Sunderland AFC,Everton FC,Sunderland AFC,2026-05-17 14:00:00+00:00,Home Win,0.581375241279602,1.9,0.5263157894736842,0.05505945180591787,0.10461295843124385,2.9059155119789963,0.581375241279602
