match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Manchester United FC vs Fulham FC,Manchester United FC,Fulham FC,2026-02-01 14:00:00+00:00,Away Win,0.599145770072937,5.7,0.17543859649122806,0.42370717358170895,2.415130889415741,12.846440901147558,0.599145770072937
Brighton & Hove Albion FC vs Everton FC,Brighton & Hove Albion FC,Everton FC,2026-01-31 15:00:00+00:00,Away Win,0.599145770072937,4.4,0.22727272727272727,0.3718730428002097,1.636241388320923,12.031186678830315,0.599145770072937
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Away Win,0.42657923698425293,4.0,0.25,0.17657923698425293,0.7063169479370117,5.885974566141764,0.42657923698425293
Sunderland AFC vs Burnley FC,Sunderland AFC,Burnley FC,2026-02-02 20:00:00+00:00,Home Win,0.9457205533981323,1.79,0.5586592178770949,0.3870613355210374,0.6928397905826569,21.92530982856509,0.9457205533981323
Everton FC vs Leeds United FC,Everton FC,Leeds United FC,2026-01-26 20:00:00+00:00,Home Win,0.581375241279602,2.7,0.37037037037037035,0.2110048709092317,0.5697131514549256,8.378134580219495,0.581375241279602
Liverpool FC vs Newcastle United FC,Liverpool FC,Newcastle United FC,2026-01-31 20:00:00+00:00,Home Win,0.7463911771774292,1.83,0.5464480874316939,0.19994308974573527,0.3658958542346955,11.020959464900466,0.7463911771774292
Aston Villa FC vs Brentford FC,Aston Villa FC,Brentford FC,2026-02-01 14:00:00+00:00,Draw,0.3422539234161377,3.8,0.2631578947368421,0.0790960286792956,0.30056490898132315,2.683615258761814,0.42657923698425293
Chelsea FC vs West Ham United FC,Chelsea FC,West Ham United FC,2026-01-31 17:30:00+00:00,Home Win,0.7259930968284607,1.55,0.6451612903225806,0.08083180650588007,0.1252893000841141,5.6949681856415495,0.7259930968284607
