match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,8.6,0.11627906976744186,0.45123552860215654,3.880625545978546,12.765215611771533,0.5675145983695984
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Home Win,0.581375241279602,7.0,0.14285714285714285,0.4385180984224592,3.0696266889572144,12.790111203988394,0.581375241279602
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.3,0.30303030303030304,0.44336087414712616,1.4630908846855162,15.903161790059961,0.7463911771774292
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,3.0,0.3333333333333333,0.2658124367396037,0.797437310218811,9.967966377735138,0.599145770072937
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.58,0.38759689922480617,0.1912739336952683,0.4934867489337922,7.8083346350283565,0.5788708329200745
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Draw,0.28117579221725464,5.2,0.1923076923076923,0.08886809990956235,0.46211411952972425,2.750679282915025,0.581375241279602
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,5.0,0.2,0.08233462572097777,0.4116731286048889,2.5729570537805557,0.5675145983695984
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.3,0.30303030303030304,0.12354893395394989,0.40771148204803465,4.431646544000377,0.42657923698425293
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.7,0.2127659574468085,0.06840983477044613,0.32152622342109693,2.1724744825749793,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.85,0.2597402597402597,0.08251366367587798,0.31767760515213017,2.786645659229212,0.42657923698425293
Chelsea FC vs Nottingham Forest FC,Chelsea FC,Nottingham Forest FC,2026-05-04 14:00:00+00:00,Home Win,0.7259930968284607,1.73,0.5780346820809249,0.1479584147475358,0.25596805751323704,8.76602936689168,0.7259930968284607
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.06,0.4854368932038835,0.09343393971619096,0.19247391581535345,4.5394791465885245,0.5788708329200745
