match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Away Win,0.5675145983695984,9.8,0.1020408163265306,0.4654737820430678,4.561643064022064,12.959213250062682,0.5675145983695984
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Home Win,0.581375241279602,7.2,0.1388888888888889,0.44248635239071316,3.185901737213135,12.846377972633608,0.581375241279602
Wolverhampton Wanderers FC vs Sunderland AFC,Wolverhampton Wanderers FC,Sunderland AFC,2026-05-02 14:00:00+00:00,Home Win,0.7463911771774292,3.5,0.2857142857142857,0.4606768914631435,1.6123691201210022,16.123691201210022,0.7463911771774292
Manchester United FC vs Liverpool FC,Manchester United FC,Liverpool FC,2026-05-03 14:30:00+00:00,Away Win,0.599145770072937,3.0,0.3333333333333333,0.2658124367396037,0.797437310218811,9.967966377735138,0.599145770072937
Newcastle United FC vs Brighton & Hove Albion FC,Newcastle United FC,Brighton & Hove Albion FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,2.6,0.3846153846153846,0.19425544830468988,0.5050641655921937,7.891627587378027,0.5788708329200745
Everton FC vs Manchester City FC,Everton FC,Manchester City FC,2026-05-04 19:00:00+00:00,Draw,0.28117579221725464,5.3,0.18867924528301888,0.09249654693423576,0.49023169875144945,2.850184295066567,0.581375241279602
Leeds United FC vs Burnley FC,Leeds United FC,Burnley FC,2026-05-01 19:00:00+00:00,Draw,0.2823346257209778,5.2,0.1923076923076923,0.09002693341328549,0.4681400537490845,2.786547938982646,0.5675145983695984
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Away Win,0.42657923698425293,3.4,0.29411764705882354,0.1324615899254294,0.45036940574646,4.691347976525625,0.42657923698425293
Arsenal FC vs Fulham FC,Arsenal FC,Fulham FC,2026-05-02 16:30:00+00:00,Draw,0.28117579221725464,4.8,0.20833333333333334,0.0728424588839213,0.34964380264282213,2.3002881752817244,0.581375241279602
Aston Villa FC vs Tottenham Hotspur FC,Aston Villa FC,Tottenham Hotspur FC,2026-05-03 18:00:00+00:00,Draw,0.3422539234161377,3.75,0.26666666666666666,0.07558725674947103,0.28345221281051636,2.5768382982774214,0.42657923698425293
Chelsea FC vs Nottingham Forest FC,Chelsea FC,Nottingham Forest FC,2026-05-04 14:00:00+00:00,Home Win,0.7259930968284607,1.75,0.5714285714285714,0.1545645253998893,0.2704879194498062,9.016263981660206,0.7259930968284607
Brentford FC vs West Ham United FC,Brentford FC,West Ham United FC,2026-05-02 14:00:00+00:00,Home Win,0.5788708329200745,1.99,0.5025125628140703,0.07635827010600416,0.15195295751094817,3.8371958967411155,0.5788708329200745
