match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Chelsea FC,Sunderland AFC,Chelsea FC,2026-05-24 15:00:00+00:00,Home Win,0.9457205533981323,3.7,0.27027027027027023,0.6754502831278621,2.4991660475730897,23.140426366417497,0.9457205533981323
Tottenham Hotspur FC vs Everton FC,Tottenham Hotspur FC,Everton FC,2026-05-24 15:00:00+00:00,Away Win,0.5848814845085144,4.4,0.22727272727272727,0.3576087572357871,1.5734785318374636,11.569695087040172,0.5848814845085144
Brighton & Hove Albion FC vs Manchester United FC,Brighton & Hove Albion FC,Manchester United FC,2026-05-24 15:00:00+00:00,Away Win,0.599145770072937,3.85,0.2597402597402597,0.3394055103326773,1.3067112147808075,11.462379077024627,0.599145770072937
Fulham FC vs Newcastle United FC,Fulham FC,Newcastle United FC,2026-05-24 15:00:00+00:00,Home Win,0.6593955755233765,2.98,0.33557046979865773,0.32382510572471873,0.9649988150596618,12.184328472975528,0.6593955755233765
West Ham United FC vs Leeds United FC,West Ham United FC,Leeds United FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.91,0.5235602094240838,0.3304284976414985,0.6311184304952621,17.33841842019951,0.8539887070655823
Crystal Palace FC vs Arsenal FC,Crystal Palace FC,Arsenal FC,2026-05-24 15:00:00+00:00,Draw,0.3422539234161377,4.2,0.23809523809523808,0.10415868532089961,0.4374664783477784,3.417706862092019,0.42657923698425293
Liverpool FC vs Brentford FC,Liverpool FC,Brentford FC,2026-05-24 15:00:00+00:00,Home Win,0.7463911771774292,1.87,0.53475935828877,0.21163181888865923,0.3957515013217927,11.372169578212432,0.7463911771774292
Burnley FC vs Wolverhampton Wanderers FC,Burnley FC,Wolverhampton Wanderers FC,2026-05-24 15:00:00+00:00,Home Win,0.509194016456604,2.48,0.40322580645161293,0.10596821000499107,0.2628011608123779,4.439208797506384,0.509194016456604
Manchester City FC vs Aston Villa FC,Manchester City FC,Aston Villa FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.33,0.7518796992481203,0.10210900781746202,0.1358049803972245,10.288256090698823,0.8539887070655823
