match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,2026-05-10 15:30:00+00:00,Home Win,0.8539887070655823,6.2,0.16129032258064516,0.6926983844849371,4.294729983806611,20.64774030676255,0.8539887070655823
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,2026-05-17 11:30:00+00:00,Away Win,0.599145770072937,5.25,0.19047619047619047,0.40866957959674655,2.1455152928829193,12.620678193428937,0.599145770072937
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,6.0,0.16666666666666666,0.3425273497899374,2.055164098739624,10.27582049369812,0.509194016456604
Wolverhampton Wanderers FC vs Fulham FC,Wolverhampton Wanderers FC,Fulham FC,2026-05-17 14:00:00+00:00,Home Win,0.7463911771774292,3.7,0.27027027027027023,0.47612090690715897,1.7616473555564882,16.311549588486002,0.7463911771774292
Tottenham Hotspur FC vs Leeds United FC,Tottenham Hotspur FC,Leeds United FC,2026-05-11 19:00:00+00:00,Away Win,0.5848814845085144,4.2,0.23809523809523808,0.3467862464132763,1.4565022349357606,11.378923710435629,0.5848814845085144
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,3.0,0.3333333333333333,0.1758606831232707,0.527582049369812,6.59477561712265,0.509194016456604
Aston Villa FC vs Liverpool FC,Aston Villa FC,Liverpool FC,2026-05-15 19:00:00+00:00,Draw,0.3422539234161377,4.4,0.22727272727272727,0.11498119614341043,0.505917263031006,3.7199798752279847,0.42657923698425293
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Draw,0.31109315156936646,4.4,0.22727272727272727,0.08382042429663919,0.36880986690521245,2.7118372566559734,0.509194016456604
Leeds United FC vs Brighton & Hove Albion FC,Leeds United FC,Brighton & Hove Albion FC,2026-05-17 14:00:00+00:00,Away Win,0.5675145983695984,2.3,0.4347826086956522,0.13273198967394617,0.3052835762500762,5.870838004809158,0.5675145983695984
Newcastle United FC vs West Ham United FC,Newcastle United FC,West Ham United FC,2026-05-17 16:30:00+00:00,Home Win,0.5788708329200745,2.08,0.4807692307692307,0.09810160215084374,0.20405133247375495,4.723410473929512,0.5788708329200745
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Draw,0.3422539234161377,3.45,0.2898550724637681,0.05239885095236957,0.18077603578567514,1.84465342638444,0.42657923698425293
