match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland AFC vs Chelsea FC,Sunderland AFC,Chelsea FC,2026-05-24 15:00:00+00:00,Home Win,0.9457205533981323,3.7,0.27027027027027023,0.6754502831278621,2.4991660475730897,23.140426366417497,0.9457205533981323
Tottenham Hotspur FC vs Everton FC,Tottenham Hotspur FC,Everton FC,2026-05-24 15:00:00+00:00,Away Win,0.5848814845085144,4.4,0.22727272727272727,0.3576087572357871,1.5734785318374636,11.569695087040172,0.5848814845085144
Brighton & Hove Albion FC vs Manchester United FC,Brighton & Hove Albion FC,Manchester United FC,2026-05-24 15:00:00+00:00,Away Win,0.599145770072937,4.0,0.25,0.349145770072937,1.396583080291748,11.638192335764568,0.599145770072937
Fulham FC vs Newcastle United FC,Fulham FC,Newcastle United FC,2026-05-24 15:00:00+00:00,Home Win,0.6593955755233765,2.78,0.3597122302158274,0.2996833453075491,0.8331196999549864,11.70111938139026,0.6593955755233765
West Ham United FC vs Leeds United FC,West Ham United FC,Leeds United FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.81,0.5524861878453039,0.3015025192202784,0.545719559788704,16.843196289774813,0.8539887070655823
Liverpool FC vs Brentford FC,Liverpool FC,Brentford FC,2026-05-24 15:00:00+00:00,Home Win,0.7463911771774292,1.91,0.5235602094240838,0.22283096775334543,0.4256071484088897,11.6925040771673,0.7463911771774292
Burnley FC vs Wolverhampton Wanderers FC,Burnley FC,Wolverhampton Wanderers FC,2026-05-24 15:00:00+00:00,Home Win,0.509194016456604,2.58,0.38759689922480617,0.12159711723179784,0.31372056245803837,4.963932950285417,0.509194016456604
Crystal Palace FC vs Arsenal FC,Crystal Palace FC,Arsenal FC,2026-05-24 15:00:00+00:00,Draw,0.3422539234161377,3.7,0.27027027027027023,0.07198365314586747,0.26633951663970956,2.4661066355528662,0.42657923698425293
Manchester City FC vs Aston Villa FC,Manchester City FC,Aston Villa FC,2026-05-24 15:00:00+00:00,Home Win,0.8539887070655823,1.33,0.7518796992481203,0.10210900781746202,0.1358049803972245,10.288256090698823,0.8539887070655823
