match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Away Win,0.1374489814043045,28.0,0.03571428571428571,0.10173469569001879,2.848571479320526,2.6375661845560425,0.581375241279602
Arsenal FC vs Burnley FC,Arsenal FC,Burnley FC,2026-05-18 19:00:00+00:00,Draw,0.28117579221725464,12.0,0.08333333333333333,0.19784245888392132,2.3741095066070557,5.395703424106945,0.581375241279602
Manchester United FC vs Nottingham Forest FC,Manchester United FC,Nottingham Forest FC,2026-05-17 11:30:00+00:00,Away Win,0.599145770072937,5.6,0.17857142857142858,0.4205743415015084,2.355216312408447,12.800088654393734,0.599145770072937
Wolverhampton Wanderers FC vs Fulham FC,Wolverhampton Wanderers FC,Fulham FC,2026-05-17 14:00:00+00:00,Home Win,0.7463911771774292,3.9,0.25641025641025644,0.48998092076717276,1.9109255909919738,16.473496474068742,0.7463911771774292
Chelsea FC vs Tottenham Hotspur FC,Chelsea FC,Tottenham Hotspur FC,2026-05-19 19:15:00+00:00,Home Win,0.7259930968284607,2.16,0.4629629629629629,0.2630301338654978,0.5681450891494751,12.244506231669721,0.7259930968284607
Aston Villa FC vs Liverpool FC,Aston Villa FC,Liverpool FC,2026-05-15 19:00:00+00:00,Draw,0.3422539234161377,3.95,0.2531645569620253,0.08908936645411242,0.351902997493744,2.982228792319864,0.42657923698425293
Leeds United FC vs Brighton & Hove Albion FC,Leeds United FC,Brighton & Hove Albion FC,2026-05-17 14:00:00+00:00,Away Win,0.5675145983695984,2.26,0.4424778761061947,0.12503672226340368,0.28258299231529227,5.606805403081197,0.5675145983695984
Newcastle United FC vs West Ham United FC,Newcastle United FC,West Ham United FC,2026-05-17 16:30:00+00:00,Home Win,0.5788708329200745,2.2,0.45454545454545453,0.12432537837461993,0.2735158324241639,5.698246508836747,0.5788708329200745
