match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
West Ham United FC vs Sunderland AFC,West Ham United FC,Sunderland AFC,2026-01-24 12:30:00+00:00,Home Win,0.8539887070655823,2.6,0.3846153846153846,0.4693733224501977,1.220370638370514,19.06829122453928,0.8539887070655823
Burnley FC vs Tottenham Hotspur FC,Burnley FC,Tottenham Hotspur FC,2026-01-24 15:00:00+00:00,Home Win,0.509194016456604,3.85,0.2597402597402597,0.2494537567163443,0.9603969633579255,8.42453476629759,0.509194016456604
Fulham FC vs Brighton & Hove Albion FC,Fulham FC,Brighton & Hove Albion FC,2026-01-24 15:00:00+00:00,Home Win,0.6593955755233765,2.66,0.37593984962406013,0.28345572589931634,0.7539922308921816,11.355304682111168,0.6593955755233765
Everton FC vs Leeds United FC,Everton FC,Leeds United FC,2026-01-26 20:00:00+00:00,Home Win,0.581375241279602,2.48,0.40322580645161293,0.17814943482798912,0.4418105983734131,7.463016864415762,0.581375241279602
Crystal Palace FC vs Chelsea FC,Crystal Palace FC,Chelsea FC,2026-01-25 14:00:00+00:00,Draw,0.3422539234161377,3.9,0.25641025641025644,0.08584366700588125,0.33479030132293697,2.886123287266698,0.42657923698425293
Brentford FC vs Nottingham Forest FC,Brentford FC,Nottingham Forest FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,2.1,0.47619047619047616,0.1026803567295983,0.21562874913215646,4.900653389367192,0.5788708329200745
Newcastle United FC vs Aston Villa FC,Newcastle United FC,Aston Villa FC,2026-01-25 14:00:00+00:00,Home Win,0.5788708329200745,2.06,0.4854368932038835,0.09343393971619096,0.19247391581535345,4.5394791465885245,0.5788708329200745
