match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Away Win,0.599145770072937,11.5,0.08695652173913043,0.5121892483338066,5.890176355838776,14.024229418663753,0.599145770072937
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,2026-05-10 15:30:00+00:00,Home Win,0.8539887070655823,5.7,0.17543859649122806,0.6785501105743542,3.8677356302738195,20.573061863158614,0.8539887070655823
Sunderland AFC vs Manchester United FC,Sunderland AFC,Manchester United FC,2026-05-09 14:00:00+00:00,Home Win,0.9457205533981323,4.4,0.22727272727272727,0.718447826125405,3.1611704349517824,23.243900256998398,0.9457205533981323
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,5.9,0.1694915254237288,0.3397024910328752,2.004244697093964,10.225738250479406,0.509194016456604
Tottenham Hotspur FC vs Leeds United FC,Tottenham Hotspur FC,Leeds United FC,2026-05-11 19:00:00+00:00,Away Win,0.5848814845085144,4.1,0.24390243902439027,0.34097904548412417,1.3980140864849089,11.274307149071847,0.5848814845085144
Liverpool FC vs Chelsea FC,Liverpool FC,Chelsea FC,2026-05-09 11:30:00+00:00,Home Win,0.7463911771774292,1.9,0.5263157894736842,0.22007538770374502,0.4181432366371154,11.61508990658654,0.7463911771774292
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Draw,0.31109315156936646,4.5,0.2222222222222222,0.08887092934714425,0.39991918206214905,2.8565655861582075,0.509194016456604
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,2.7,0.37037037037037035,0.13882364608623365,0.3748238444328309,5.512115359306336,0.509194016456604
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Draw,0.19790267944335938,6.8,0.14705882352941177,0.050843855913947605,0.3457382202148438,1.490250949201913,0.599145770072937
Manchester City FC vs Brentford FC,Manchester City FC,Brentford FC,2026-05-09 16:30:00+00:00,Home Win,0.8539887070655823,1.38,0.7246376811594204,0.12935102590616188,0.17850441575050346,11.743711562533125,0.8539887070655823
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Away Win,0.42657923698425293,2.74,0.36496350364963503,0.061615733334617895,0.16882710933685308,2.4256768582881185,0.42657923698425293
Manchester City FC vs Crystal Palace FC,Manchester City FC,Crystal Palace FC,2026-05-13 19:00:00+00:00,Home Win,0.8539887070655823,1.29,0.7751937984496123,0.07879490861596994,0.10164543211460117,8.76253725125872,0.8539887070655823
