match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Away Win,0.599145770072937,11.0,0.09090909090909091,0.5082366791638461,5.590603470802307,13.976508677005766,0.599145770072937
West Ham United FC vs Arsenal FC,West Ham United FC,Arsenal FC,2026-05-10 15:30:00+00:00,Home Win,0.8539887070655823,5.7,0.17543859649122806,0.6785501105743542,3.8677356302738195,20.573061863158614,0.8539887070655823
Sunderland AFC vs Manchester United FC,Sunderland AFC,Manchester United FC,2026-05-09 14:00:00+00:00,Home Win,0.9457205533981323,4.1,0.24390243902439027,0.7018181143737421,2.8774542689323424,23.2052763623576,0.9457205533981323
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,5.9,0.1694915254237288,0.3397024910328752,2.004244697093964,10.225738250479406,0.509194016456604
Tottenham Hotspur FC vs Leeds United FC,Tottenham Hotspur FC,Leeds United FC,2026-05-11 19:00:00+00:00,Away Win,0.5848814845085144,4.3,0.23255813953488372,0.3523233449736307,1.5149903833866118,11.477199874140998,0.5848814845085144
Liverpool FC vs Chelsea FC,Liverpool FC,Chelsea FC,2026-05-09 11:30:00+00:00,Home Win,0.7463911771774292,1.91,0.5235602094240838,0.22283096775334543,0.4256071484088897,11.6925040771673,0.7463911771774292
Nottingham Forest FC vs Newcastle United FC,Nottingham Forest FC,Newcastle United FC,2026-05-10 13:00:00+00:00,Home Win,0.509194016456604,2.7,0.37037037037037035,0.13882364608623365,0.3748238444328309,5.512115359306336,0.509194016456604
Burnley FC vs Aston Villa FC,Burnley FC,Aston Villa FC,2026-05-10 13:00:00+00:00,Draw,0.31109315156936646,4.4,0.22727272727272727,0.08382042429663919,0.36880986690521245,2.7118372566559734,0.509194016456604
Brighton & Hove Albion FC vs Wolverhampton Wanderers FC,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,2026-05-09 14:00:00+00:00,Draw,0.19790267944335938,6.8,0.14705882352941177,0.050843855913947605,0.3457382202148438,1.490250949201913,0.599145770072937
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Draw,0.3422539234161377,3.45,0.2898550724637681,0.05239885095236957,0.18077603578567514,1.84465342638444,0.42657923698425293
Manchester City FC vs Brentford FC,Manchester City FC,Brentford FC,2026-05-09 16:30:00+00:00,Home Win,0.8539887070655823,1.36,0.7352941176470588,0.11869458941852351,0.16142464160919195,11.210044556193882,0.8539887070655823
Crystal Palace FC vs Everton FC,Crystal Palace FC,Everton FC,2026-05-10 13:00:00+00:00,Away Win,0.42657923698425293,2.68,0.3731343283582089,0.05344490862604401,0.14323235511779797,2.1314338559196124,0.42657923698425293
